tree_amount,attribute_amount,accuracy,error_rate,precision_macro,precision_micro,recall_macro,recall_micro,labels_M_vp,labels_M_fp,labels_M_fn,labels_M_precision,labels_M_recall,labels_M_f_measure,labels_B_vp,labels_B_fp,labels_B_fn,labels_B_precision,labels_B_recall,labels_B_f_measure
10,5,0.9464285714285714,0.0535714285714286,0.9285714285714286,0.9464285714285714,0.9605263157894737,0.9464285714285714,18,3,0,0.8571428571428571,1.0,0.923076923076923,35,0,3,1.0,0.9210526315789473,0.958904109589041
10,5,0.9642857142857143,0.0357142857142857,0.9625668449197862,0.9642857142857143,0.9625668449197862,0.9642857142857143,21,1,1,0.9545454545454546,0.9545454545454546,0.9545454545454546,33,1,1,0.9705882352941176,0.9705882352941176,0.9705882352941176
10,5,0.9464285714285714,0.0535714285714286,0.9479578392621871,0.9464285714285714,0.9427083333333333,0.9464285714285714,22,1,2,0.9565217391304348,0.9166666666666666,0.9361702127659574,31,2,1,0.9393939393939394,0.96875,0.9538461538461539
10,5,0.9821428571428571,0.017857142857142905,0.9871794871794872,0.9821428571428571,0.9722222222222222,0.9821428571428571,17,0,1,1.0,0.9444444444444444,0.9714285714285714,38,1,0,0.9743589743589743,1.0,0.9870129870129869
10,5,0.9285714285714286,0.0714285714285714,0.9181286549707601,0.9285714285714286,0.9181286549707601,0.9285714285714286,16,2,2,0.8888888888888888,0.8888888888888888,0.8888888888888888,36,2,2,0.9473684210526315,0.9473684210526315,0.9473684210526315
10,5,0.9464285714285714,0.0535714285714286,0.9605263157894737,0.9464285714285714,0.9285714285714286,0.9464285714285714,18,0,3,1.0,0.8571428571428571,0.923076923076923,35,3,0,0.9210526315789473,1.0,0.958904109589041
10,5,0.9642857142857143,0.0357142857142857,0.9631093544137023,0.9642857142857143,0.9631093544137023,0.9642857142857143,22,1,1,0.9565217391304348,0.9565217391304348,0.9565217391304348,32,1,1,0.9696969696969697,0.9696969696969697,0.9696969696969697
10,5,0.9821428571428571,0.017857142857142905,0.975,0.9821428571428571,0.9864864864864865,0.9821428571428571,19,1,0,0.95,1.0,0.9743589743589743,36,0,1,1.0,0.972972972972973,0.9863013698630138
10,5,0.9642857142857143,0.0357142857142857,0.9601706970128023,0.9642857142857143,0.9601706970128023,0.9642857142857143,18,1,1,0.9473684210526315,0.9473684210526315,0.9473684210526315,36,1,1,0.972972972972973,0.972972972972973,0.972972972972973
10,5,0.9538461538461539,0.0461538461538461,0.9530360531309298,0.9538461538461539,0.9547619047619047,0.9538461538461539,29,2,1,0.9354838709677419,0.9666666666666667,0.9508196721311476,33,1,2,0.9705882352941176,0.9428571428571428,0.9565217391304348
15,5,0.875,0.125,0.8809523809523809,0.875,0.8645833333333333,0.875,19,2,5,0.9047619047619048,0.7916666666666666,0.8444444444444444,30,5,2,0.8571428571428571,0.9375,0.8955223880597014
15,5,0.9285714285714286,0.0714285714285714,0.9487179487179487,0.9285714285714286,0.9047619047619048,0.9285714285714286,17,0,4,1.0,0.8095238095238095,0.8947368421052632,35,4,0,0.8974358974358975,1.0,0.945945945945946
15,5,1.0,0.0,1.0,1.0,1.0,1.0,18,0,0,1.0,1.0,1.0,38,0,0,1.0,1.0,1.0
15,5,0.9285714285714286,0.0714285714285714,0.9171122994652406,0.9285714285714286,0.9333333333333333,0.9285714285714286,19,3,1,0.8636363636363636,0.95,0.9047619047619048,33,1,3,0.9705882352941176,0.9166666666666666,0.9428571428571428
15,5,0.9821428571428571,0.017857142857142905,0.9861111111111112,0.9821428571428571,0.9761904761904762,0.9821428571428571,20,0,1,1.0,0.9523809523809523,0.975609756097561,35,1,0,0.9722222222222222,1.0,0.9859154929577464
15,5,0.9285714285714286,0.0714285714285714,0.9238095238095239,0.9285714285714286,0.9238095238095239,0.9285714285714286,19,2,2,0.9047619047619048,0.9047619047619048,0.9047619047619048,33,2,2,0.9428571428571428,0.9428571428571428,0.9428571428571428
15,5,0.9642857142857143,0.0357142857142857,0.9722222222222222,0.9642857142857143,0.9545454545454546,0.9642857142857143,20,0,2,1.0,0.9090909090909091,0.9523809523809523,34,2,0,0.9444444444444444,1.0,0.9714285714285714
15,5,0.9821428571428571,0.017857142857142905,0.9666666666666667,0.9821428571428571,0.9880952380952381,0.9821428571428571,14,1,0,0.9333333333333333,1.0,0.9655172413793104,41,0,1,1.0,0.9761904761904762,0.9879518072289156
15,5,0.9821428571428571,0.017857142857142905,0.9848484848484849,0.9821428571428571,0.9791666666666667,0.9821428571428571,23,0,1,1.0,0.9583333333333334,0.9787234042553191,32,1,0,0.9696969696969697,1.0,0.9846153846153847
15,5,0.9692307692307692,0.03076923076923077,0.975,0.9692307692307692,0.962962962962963,0.9692307692307692,25,0,2,1.0,0.9259259259259259,0.9615384615384615,38,2,0,0.95,1.0,0.9743589743589743
20,5,0.9821428571428571,0.017857142857142905,0.9736842105263157,0.9821428571428571,0.986842105263158,0.9821428571428571,18,1,0,0.9473684210526315,1.0,0.972972972972973,37,0,1,1.0,0.9736842105263158,0.9866666666666666
20,5,0.9821428571428571,0.017857142857142905,0.9782608695652174,0.9821428571428571,0.9852941176470589,0.9821428571428571,22,1,0,0.9565217391304348,1.0,0.9777777777777777,33,0,1,1.0,0.9705882352941176,0.9850746268656716
20,5,0.9464285714285714,0.0535714285714286,0.9312865497076024,0.9464285714285714,0.944947209653092,0.9464285714285714,16,2,1,0.8888888888888888,0.9411764705882353,0.9142857142857143,37,1,2,0.9736842105263158,0.9487179487179487,0.9610389610389611
20,5,0.9642857142857143,0.0357142857142857,0.9619047619047618,0.9642857142857143,0.9619047619047618,0.9642857142857143,20,1,1,0.9523809523809523,0.9523809523809523,0.9523809523809523,34,1,1,0.9714285714285714,0.9714285714285714,0.9714285714285714
20,5,0.9464285714285714,0.0535714285714286,0.9382826475849733,0.9464285714285714,0.9166666666666666,0.9464285714285714,12,1,2,0.9230769230769231,0.8571428571428571,0.888888888888889,41,2,1,0.9534883720930233,0.9761904761904762,0.9647058823529412
20,5,0.9642857142857143,0.0357142857142857,0.9714285714285714,0.9642857142857143,0.9565217391304348,0.9642857142857143,21,0,2,1.0,0.9130434782608695,0.9545454545454545,33,2,0,0.9428571428571428,1.0,0.9705882352941176
20,5,0.9821428571428571,0.017857142857142905,0.9827586206896552,0.9821428571428571,0.9821428571428572,0.9821428571428571,28,1,0,0.9655172413793104,1.0,0.9824561403508771,27,0,1,1.0,0.9642857142857143,0.9818181818181818
20,5,0.9107142857142857,0.0892857142857143,0.8903508771929824,0.9107142857142857,0.9027149321266968,0.9107142857142857,15,3,2,0.8333333333333334,0.8823529411764706,0.8571428571428571,36,2,3,0.9473684210526315,0.9230769230769231,0.935064935064935
20,5,0.9285714285714286,0.0714285714285714,0.9512195121951219,0.9285714285714286,0.8947368421052632,0.9285714285714286,15,0,4,1.0,0.7894736842105263,0.8823529411764706,37,4,0,0.9024390243902439,1.0,0.9487179487179488
20,5,1.0,0.0,1.0,1.0,1.0,1.0,33,0,0,1.0,1.0,1.0,32,0,0,1.0,1.0,1.0
25,5,0.9821428571428571,0.017857142857142905,0.9871794871794872,0.9821428571428571,0.9722222222222222,0.9821428571428571,17,0,1,1.0,0.9444444444444444,0.9714285714285714,38,1,0,0.9743589743589743,1.0,0.9870129870129869
25,5,0.9642857142857143,0.0357142857142857,0.95625,0.9642857142857143,0.95625,0.9642857142857143,15,1,1,0.9375,0.9375,0.9375,39,1,1,0.975,0.975,0.975
25,5,0.9464285714285714,0.0535714285714286,0.9545454545454546,0.9464285714285714,0.9423076923076923,0.9464285714285714,23,0,3,1.0,0.8846153846153846,0.9387755102040816,30,3,0,0.9090909090909091,1.0,0.9523809523809523
25,5,0.9642857142857143,0.0357142857142857,0.9619047619047618,0.9642857142857143,0.9619047619047618,0.9642857142857143,20,1,1,0.9523809523809523,0.9523809523809523,0.9523809523809523,34,1,1,0.9714285714285714,0.9714285714285714,0.9714285714285714
25,5,0.9821428571428571,0.017857142857142905,0.9861111111111112,0.9821428571428571,0.9761904761904762,0.9821428571428571,20,0,1,1.0,0.9523809523809523,0.975609756097561,35,1,0,0.9722222222222222,1.0,0.9859154929577464
25,5,0.9821428571428571,0.017857142857142905,0.9864864864864865,0.9821428571428571,0.975,0.9821428571428571,19,0,1,1.0,0.95,0.9743589743589743,36,1,0,0.972972972972973,1.0,0.9863013698630138
25,5,0.9464285714285714,0.0535714285714286,0.9476190476190476,0.9464285714285714,0.9398395721925134,0.9464285714285714,20,1,2,0.9523809523809523,0.9090909090909091,0.9302325581395349,33,2,1,0.9428571428571428,0.9705882352941176,0.9565217391304348
25,5,0.9285714285714286,0.0714285714285714,0.9327485380116959,0.9285714285714286,0.9111111111111111,0.9285714285714286,17,1,3,0.9444444444444444,0.85,0.8947368421052632,35,3,1,0.9210526315789473,0.9722222222222222,0.9459459459459458
25,5,0.9642857142857143,0.0357142857142857,0.9601706970128023,0.9642857142857143,0.9601706970128023,0.9642857142857143,18,1,1,0.9473684210526315,0.9473684210526315,0.9473684210526315,36,1,1,0.972972972972973,0.972972972972973,0.972972972972973
25,5,0.9384615384615385,0.06153846153846154,0.95,0.9384615384615385,0.9310344827586207,0.9384615384615385,25,0,4,1.0,0.8620689655172413,0.9259259259259259,36,4,0,0.9,1.0,0.9473684210526316
30,5,0.9821428571428571,0.017857142857142905,0.9888888888888889,0.9821428571428571,0.9583333333333333,0.9821428571428571,11,0,1,1.0,0.9166666666666666,0.9565217391304348,44,1,0,0.9777777777777777,1.0,0.9887640449438202
30,5,0.9642857142857143,0.0357142857142857,0.9545454545454546,0.9642857142857143,0.9722222222222222,0.9642857142857143,20,2,0,0.9090909090909091,1.0,0.9523809523809523,34,0,2,1.0,0.9444444444444444,0.9714285714285714
30,5,0.9107142857142857,0.0892857142857143,0.9342105263157895,0.9107142857142857,0.8913043478260869,0.9107142857142857,18,0,5,1.0,0.782608695652174,0.878048780487805,33,5,0,0.868421052631579,1.0,0.9295774647887324
30,5,0.9285714285714286,0.0714285714285714,0.9282051282051282,0.9285714285714286,0.9282051282051282,0.9285714285714286,24,2,2,0.9230769230769231,0.9230769230769231,0.9230769230769231,28,2,2,0.9333333333333333,0.9333333333333333,0.9333333333333333
30,5,0.9642857142857143,0.0357142857142857,0.9635416666666667,0.9642857142857143,0.9635416666666667,0.9642857142857143,23,1,1,0.9583333333333334,0.9583333333333334,0.9583333333333334,31,1,1,0.96875,0.96875,0.96875
30,5,0.9642857142857143,0.0357142857142857,0.9705882352941176,0.9642857142857143,0.9583333333333333,0.9642857142857143,22,0,2,1.0,0.9166666666666666,0.9565217391304348,32,2,0,0.9411764705882353,1.0,0.9696969696969697
30,5,0.9464285714285714,0.0535714285714286,0.9478609625668449,0.9464285714285714,0.9413702239789197,0.9464285714285714,21,1,2,0.9545454545454546,0.9130434782608695,0.9333333333333332,32,2,1,0.9411764705882353,0.9696969696969697,0.955223880597015
30,5,0.9285714285714286,0.0714285714285714,0.9111111111111111,0.9285714285714286,0.9327485380116959,0.9285714285714286,17,3,1,0.85,0.9444444444444444,0.8947368421052632,35,1,3,0.9722222222222222,0.9210526315789473,0.9459459459459458
30,5,0.9821428571428571,0.017857142857142905,0.9864864864864865,0.9821428571428571,0.975,0.9821428571428571,19,0,1,1.0,0.95,0.9743589743589743,36,1,0,0.972972972972973,1.0,0.9863013698630138
30,5,0.9538461538461539,0.0461538461538461,0.9534632034632035,0.9538461538461539,0.9429175475687104,0.9538461538461539,20,1,2,0.9523809523809523,0.9090909090909091,0.9302325581395349,42,2,1,0.9545454545454546,0.9767441860465116,0.9655172413793104
35,5,0.9642857142857143,0.0357142857142857,0.9761904761904762,0.9642857142857143,0.9375,0.9642857142857143,14,0,2,1.0,0.875,0.9333333333333333,40,2,0,0.9523809523809523,1.0,0.975609756097561
35,5,1.0,0.0,1.0,1.0,1.0,1.0,19,0,0,1.0,1.0,1.0,37,0,0,1.0,1.0,1.0
35,5,0.9821428571428571,0.017857142857142905,0.9852941176470589,0.9821428571428571,0.9782608695652174,0.9821428571428571,22,0,1,1.0,0.9565217391304348,0.9777777777777777,33,1,0,0.9705882352941176,1.0,0.9850746268656716
35,5,0.9821428571428571,0.017857142857142905,0.9761904761904762,0.9821428571428571,0.9861111111111112,0.9821428571428571,20,1,0,0.9523809523809523,1.0,0.975609756097561,35,0,1,1.0,0.9722222222222222,0.9859154929577464
35,5,0.9642857142857143,0.0357142857142857,0.9655172413793103,0.9642857142857143,0.9655172413793103,0.9642857142857143,27,0,2,1.0,0.9310344827586207,0.9642857142857143,27,2,0,0.9310344827586207,1.0,0.9642857142857143
35,5,0.9821428571428571,0.017857142857142905,0.975,0.9821428571428571,0.9864864864864865,0.9821428571428571,19,1,0,0.95,1.0,0.9743589743589743,36,0,1,1.0,0.972972972972973,0.9863013698630138
35,5,0.9107142857142857,0.0892857142857143,0.8903508771929824,0.9107142857142857,0.9027149321266968,0.9107142857142857,15,3,2,0.8333333333333334,0.8823529411764706,0.8571428571428571,36,2,3,0.9473684210526315,0.9230769230769231,0.935064935064935
35,5,0.9464285714285714,0.0535714285714286,0.9558823529411764,0.9464285714285714,0.94,0.9464285714285714,22,0,3,1.0,0.88,0.9361702127659575,31,3,0,0.9117647058823529,1.0,0.9538461538461539
35,5,1.0,0.0,1.0,1.0,1.0,1.0,20,0,0,1.0,1.0,1.0,36,0,0,1.0,1.0,1.0
35,5,0.9538461538461539,0.0461538461538461,0.9544513457556936,0.9538461538461539,0.9461382113821137,0.9538461538461539,22,1,2,0.9565217391304348,0.9166666666666666,0.9361702127659574,40,2,1,0.9523809523809523,0.975609756097561,0.963855421686747
40,5,0.9464285714285714,0.0535714285714286,0.9478609625668449,0.9464285714285714,0.9413702239789197,0.9464285714285714,21,1,2,0.9545454545454546,0.9130434782608695,0.9333333333333332,32,2,1,0.9411764705882353,0.9696969696969697,0.955223880597015
40,5,0.9642857142857143,0.0357142857142857,0.967741935483871,0.9642857142857143,0.962962962962963,0.9642857142857143,25,0,2,1.0,0.9259259259259259,0.9615384615384615,29,2,0,0.9354838709677419,1.0,0.9666666666666666
40,5,0.9642857142857143,0.0357142857142857,0.9631093544137023,0.9642857142857143,0.9631093544137023,0.9642857142857143,22,1,1,0.9565217391304348,0.9565217391304348,0.9565217391304348,32,1,1,0.9696969696969697,0.9696969696969697,0.9696969696969697
40,5,0.9464285714285714,0.0535714285714286,0.9427083333333333,0.9464285714285714,0.9479578392621871,0.9464285714285714,22,2,1,0.9166666666666666,0.9565217391304348,0.9361702127659574,31,1,2,0.96875,0.9393939393939394,0.9538461538461539
40,5,0.9821428571428571,0.017857142857142905,0.9883720930232558,0.9821428571428571,0.9642857142857143,0.9821428571428571,13,0,1,1.0,0.9285714285714286,0.962962962962963,42,1,0,0.9767441860465116,1.0,0.988235294117647
40,5,0.9642857142857143,0.0357142857142857,0.9619047619047618,0.9642857142857143,0.9619047619047618,0.9642857142857143,20,1,1,0.9523809523809523,0.9523809523809523,0.9523809523809523,34,1,1,0.9714285714285714,0.9714285714285714,0.9714285714285714
40,5,0.9821428571428571,0.017857142857142905,0.9772727272727273,0.9821428571428571,0.9857142857142858,0.9821428571428571,21,1,0,0.9545454545454546,1.0,0.9767441860465117,34,0,1,1.0,0.9714285714285714,0.9855072463768115
40,5,0.9821428571428571,0.017857142857142905,0.9722222222222222,0.9821428571428571,0.9871794871794872,0.9821428571428571,17,1,0,0.9444444444444444,1.0,0.9714285714285714,38,0,1,1.0,0.9743589743589743,0.9870129870129869
40,5,0.8928571428571429,0.1071428571428571,0.9285714285714286,0.8928571428571429,0.85,0.8928571428571429,14,0,6,1.0,0.7,0.8235294117647058,36,6,0,0.8571428571428571,1.0,0.923076923076923
40,5,0.9692307692307692,0.03076923076923077,0.9663561076604554,0.9692307692307692,0.9663561076604554,0.9692307692307692,22,1,1,0.9565217391304348,0.9565217391304348,0.9565217391304348,41,1,1,0.9761904761904762,0.9761904761904762,0.9761904761904762
45,5,0.9642857142857143,0.0357142857142857,0.9696969696969697,0.9642857142857143,0.96,0.9642857142857143,23,0,2,1.0,0.92,0.9583333333333334,31,2,0,0.9393939393939394,1.0,0.96875
45,5,0.9821428571428571,0.017857142857142905,0.984375,0.9821428571428571,0.98,0.9821428571428571,24,0,1,1.0,0.96,0.9795918367346939,31,1,0,0.96875,1.0,0.9841269841269841
45,5,0.9642857142857143,0.0357142857142857,0.9590643274853801,0.9642857142857143,0.9590643274853801,0.9642857142857143,17,1,1,0.9444444444444444,0.9444444444444444,0.9444444444444444,37,1,1,0.9736842105263158,0.9736842105263158,0.9736842105263158
45,5,0.9464285714285714,0.0535714285714286,0.9210526315789473,0.9464285714285714,0.9625,0.9464285714285714,16,3,0,0.8421052631578947,1.0,0.9142857142857143,37,0,3,1.0,0.925,0.961038961038961
45,5,0.9642857142857143,0.0357142857142857,0.972972972972973,0.9642857142857143,0.9523809523809523,0.9642857142857143,19,0,2,1.0,0.9047619047619048,0.9500000000000001,35,2,0,0.9459459459459459,1.0,0.9722222222222222
45,5,0.9464285714285714,0.0535714285714286,0.9571428571428571,0.9464285714285714,0.9375,0.9464285714285714,21,0,3,1.0,0.875,0.9333333333333333,32,3,0,0.9142857142857143,1.0,0.955223880597015
45,5,0.9642857142857143,0.0357142857142857,0.9714285714285714,0.9642857142857143,0.9565217391304348,0.9642857142857143,21,0,2,1.0,0.9130434782608695,0.9545454545454545,33,2,0,0.9428571428571428,1.0,0.9705882352941176
45,5,0.9821428571428571,0.017857142857142905,0.9838709677419355,0.9821428571428571,0.9807692307692308,0.9821428571428571,25,0,1,1.0,0.9615384615384616,0.9803921568627451,30,1,0,0.967741935483871,1.0,0.9836065573770492
45,5,0.9642857142857143,0.0357142857142857,0.9577677224736048,0.9642857142857143,0.9577677224736048,0.9642857142857143,16,1,1,0.9411764705882353,0.9411764705882353,0.9411764705882353,38,1,1,0.9743589743589743,0.9743589743589743,0.9743589743589743
45,5,0.9692307692307692,0.03076923076923077,0.960171568627451,0.9692307692307692,0.960171568627451,0.9692307692307692,16,1,1,0.9411764705882353,0.9411764705882353,0.9411764705882353,47,1,1,0.9791666666666666,0.9791666666666666,0.9791666666666666
50,5,0.9642857142857143,0.0357142857142857,0.961111111111111,0.9642857142857143,0.961111111111111,0.9642857142857143,19,1,1,0.95,0.95,0.9500000000000001,35,1,1,0.9722222222222222,0.9722222222222222,0.9722222222222222
50,5,1.0,0.0,1.0,1.0,1.0,1.0,19,0,0,1.0,1.0,1.0,37,0,0,1.0,1.0,1.0
50,5,0.9821428571428571,0.017857142857142905,0.9848484848484849,0.9821428571428571,0.9791666666666667,0.9821428571428571,23,0,1,1.0,0.9583333333333334,0.9787234042553191,32,1,0,0.9696969696969697,1.0,0.9846153846153847
50,5,0.9285714285714286,0.0714285714285714,0.9545454545454546,0.9285714285714286,0.875,0.9285714285714286,12,0,4,1.0,0.75,0.8571428571428571,40,4,0,0.9090909090909091,1.0,0.9523809523809523
50,5,0.9285714285714286,0.0714285714285714,0.9331550802139037,0.9285714285714286,0.921875,0.9285714285714286,21,1,3,0.9545454545454546,0.875,0.9130434782608695,31,3,1,0.9117647058823529,0.96875,0.9393939393939394
50,5,0.9464285714285714,0.0535714285714286,0.9466571834992887,0.9464285714285714,0.9361111111111111,0.9464285714285714,18,1,2,0.9473684210526315,0.9,0.9230769230769231,35,2,1,0.9459459459459459,0.9722222222222222,0.9589041095890412
50,5,0.9285714285714286,0.0714285714285714,0.9321266968325792,0.9285714285714286,0.9075391180654339,0.9285714285714286,16,1,3,0.9411764705882353,0.8421052631578947,0.8888888888888888,36,3,1,0.9230769230769231,0.972972972972973,0.9473684210526315
50,5,0.9464285714285714,0.0535714285714286,0.9571428571428571,0.9464285714285714,0.9375,0.9464285714285714,21,0,3,1.0,0.875,0.9333333333333333,32,3,0,0.9142857142857143,1.0,0.955223880597015
50,5,0.9821428571428571,0.017857142857142905,0.9722222222222222,0.9821428571428571,0.9871794871794872,0.9821428571428571,17,1,0,0.9444444444444444,1.0,0.9714285714285714,38,0,1,1.0,0.9743589743589743,0.9870129870129869
50,5,0.9692307692307692,0.03076923076923077,0.9688697318007663,0.9692307692307692,0.9688697318007663,0.9692307692307692,28,1,1,0.9655172413793104,0.9655172413793104,0.9655172413793104,35,1,1,0.9722222222222222,0.9722222222222222,0.9722222222222222
