tree_amount,attribute_amount,accuracy,error_rate,precision_macro,precision_micro,recall_macro,recall_micro,labels_1_vp,labels_1_fp,labels_1_fn,labels_1_precision,labels_1_recall,labels_1_f_measure,labels_2_vp,labels_2_fp,labels_2_fn,labels_2_precision,labels_2_recall,labels_2_f_measure,labels_3_vp,labels_3_fp,labels_3_fn,labels_3_precision,labels_3_recall,labels_3_f_measure
10,3,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0
10,3,0.9411764705882353,0.05882352941176472,0.9333333333333332,0.9411764705882353,0.9523809523809524,0.9411764705882353,6,0,0,1.0,1.0,1.0,6,0,1,1.0,0.8571428571428571,0.923076923076923,4,1,0,0.8,1.0,0.888888888888889
10,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
10,3,0.8823529411764706,0.11764705882352944,0.8690476190476191,0.8823529411764706,0.9166666666666666,0.8823529411764706,6,1,0,0.8571428571428571,1.0,0.923076923076923,6,0,2,1.0,0.75,0.8571428571428571,3,1,0,0.75,1.0,0.8571428571428571
10,3,0.8823529411764706,0.11764705882352944,0.8777777777777779,0.8823529411764706,0.9166666666666666,0.8823529411764706,4,1,0,0.8,1.0,0.888888888888889,6,0,2,1.0,0.75,0.8571428571428571,5,1,0,0.8333333333333334,1.0,0.9090909090909091
10,3,1.0,0.0,1.0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0
10,3,0.8823529411764706,0.11764705882352944,0.8472222222222222,0.8823529411764706,0.8472222222222222,0.8823529411764706,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,7,1,1,0.875,0.875,0.875,6,0,0,1.0,1.0,1.0
10,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0,1,0,0,1.0,1.0,1.0
10,3,0.9411764705882353,0.05882352941176472,0.9166666666666666,0.9411764705882353,0.9523809523809524,0.9411764705882353,3,1,0,0.75,1.0,0.8571428571428571,6,0,1,1.0,0.8571428571428571,0.923076923076923,7,0,0,1.0,1.0,1.0
10,3,0.96,0.040000000000000036,0.9444444444444445,0.96,0.9583333333333334,0.96,12,0,0,1.0,1.0,1.0,7,0,1,1.0,0.875,0.9333333333333333,5,1,0,0.8333333333333334,1.0,0.9090909090909091
15,3,0.9411764705882353,0.05882352941176472,0.9444444444444445,0.9411764705882353,0.9333333333333332,0.9411764705882353,5,1,0,0.8333333333333334,1.0,0.9090909090909091,4,0,1,1.0,0.8,0.888888888888889,7,0,0,1.0,1.0,1.0
15,3,0.7647058823529411,0.23529411764705888,0.8444444444444444,0.7647058823529411,0.6805555555555555,0.7647058823529411,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,7,3,1,0.7,0.875,0.7777777777777777,1,0,2,1.0,0.3333333333333333,0.5
15,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
15,3,0.9411764705882353,0.05882352941176472,0.9166666666666666,0.9411764705882353,0.9444444444444445,0.9411764705882353,8,0,0,1.0,1.0,1.0,3,1,0,0.75,1.0,0.8571428571428571,5,0,1,1.0,0.8333333333333334,0.9090909090909091
15,3,0.9411764705882353,0.05882352941176472,0.8333333333333334,0.9411764705882353,0.9666666666666667,0.9411764705882353,1,1,0,0.5,1.0,0.6666666666666666,9,0,1,1.0,0.9,0.9473684210526316,6,0,0,1.0,1.0,1.0
15,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0,2,0,0,1.0,1.0,1.0
15,3,0.9411764705882353,0.05882352941176472,0.9523809523809524,0.9411764705882353,0.9333333333333332,0.9411764705882353,6,0,0,1.0,1.0,1.0,4,0,1,1.0,0.8,0.888888888888889,6,1,0,0.8571428571428571,1.0,0.923076923076923
15,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0
15,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
15,3,0.96,0.040000000000000036,0.9523809523809524,0.96,0.9761904761904763,0.96,5,0,0,1.0,1.0,1.0,13,0,1,1.0,0.9285714285714286,0.962962962962963,6,1,0,0.8571428571428571,1.0,0.923076923076923
20,3,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,10,0,0,1.0,1.0,1.0,2,0,0,1.0,1.0,1.0
20,3,1.0,0.0,1.0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0
20,3,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0
20,3,0.8823529411764706,0.11764705882352944,0.8968253968253969,0.8823529411764706,0.8888888888888888,0.8823529411764706,5,1,0,0.8333333333333334,1.0,0.9090909090909091,4,0,2,1.0,0.6666666666666666,0.8,6,1,0,0.8571428571428571,1.0,0.923076923076923
20,3,1.0,0.0,1.0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,10,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
20,3,1.0,0.0,1.0,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0
20,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
20,3,0.9411764705882353,0.05882352941176472,0.9523809523809524,0.9411764705882353,0.9333333333333332,0.9411764705882353,4,0,1,1.0,0.8,0.888888888888889,6,1,0,0.8571428571428571,1.0,0.923076923076923,6,0,0,1.0,1.0,1.0
20,3,0.9411764705882353,0.05882352941176472,0.9583333333333334,0.9411764705882353,0.9444444444444445,0.9411764705882353,5,0,1,1.0,0.8333333333333334,0.9090909090909091,7,1,0,0.875,1.0,0.9333333333333333,4,0,0,1.0,1.0,1.0
20,3,1.0,0.0,1.0,1.0,1.0,1.0,12,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0
25,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0
25,3,0.9411764705882353,0.05882352941176472,0.9444444444444445,0.9411764705882353,0.9523809523809524,0.9411764705882353,5,1,0,0.8333333333333334,1.0,0.9090909090909091,6,0,1,1.0,0.8571428571428571,0.923076923076923,5,0,0,1.0,1.0,1.0
25,3,1.0,0.0,1.0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0
25,3,1.0,0.0,1.0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
25,3,1.0,0.0,1.0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
25,3,0.9411764705882353,0.05882352941176472,0.9583333333333334,0.9411764705882353,0.9583333333333334,0.9411764705882353,7,1,0,0.875,1.0,0.9333333333333333,7,0,1,1.0,0.875,0.9333333333333333,2,0,0,1.0,1.0,1.0
25,3,1.0,0.0,1.0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0
25,3,0.8823529411764706,0.11764705882352944,0.8968253968253969,0.8823529411764706,0.8888888888888888,0.8823529411764706,6,1,0,0.8571428571428571,1.0,0.923076923076923,4,0,2,1.0,0.6666666666666666,0.8,5,1,0,0.8333333333333334,1.0,0.9090909090909091
25,3,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,1.0,1.0,1.0,10,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
25,3,0.96,0.040000000000000036,0.9444444444444445,0.96,0.9666666666666667,0.96,10,0,0,1.0,1.0,1.0,9,0,1,1.0,0.9,0.9473684210526316,5,1,0,0.8333333333333334,1.0,0.9090909090909091
30,3,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0
30,3,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0
30,3,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0
30,3,0.9411764705882353,0.05882352941176472,0.9166666666666666,0.9411764705882353,0.9444444444444445,0.9411764705882353,8,0,0,1.0,1.0,1.0,5,0,1,1.0,0.8333333333333334,0.9090909090909091,3,1,0,0.75,1.0,0.8571428571428571
30,3,0.9411764705882353,0.05882352941176472,0.9444444444444445,0.9411764705882353,0.9523809523809524,0.9411764705882353,5,1,0,0.8333333333333334,1.0,0.9090909090909091,6,0,1,1.0,0.8571428571428571,0.923076923076923,5,0,0,1.0,1.0,1.0
30,3,1.0,0.0,1.0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
30,3,0.9411764705882353,0.05882352941176472,0.9444444444444445,0.9411764705882353,0.9583333333333334,0.9411764705882353,4,0,0,1.0,1.0,1.0,7,0,1,1.0,0.875,0.9333333333333333,5,1,0,0.8333333333333334,1.0,0.9090909090909091
30,3,1.0,0.0,1.0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0,1,0,0,1.0,1.0,1.0
30,3,0.9411764705882353,0.05882352941176472,0.9583333333333334,0.9411764705882353,0.9333333333333332,0.9411764705882353,7,1,0,0.875,1.0,0.9333333333333333,4,0,1,1.0,0.8,0.888888888888889,5,0,0,1.0,1.0,1.0
30,3,1.0,0.0,1.0,1.0,1.0,1.0,12,0,0,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0
35,3,0.9411764705882353,0.05882352941176472,0.9333333333333332,0.9411764705882353,0.9523809523809524,0.9411764705882353,6,0,0,1.0,1.0,1.0,6,0,1,1.0,0.8571428571428571,0.923076923076923,4,1,0,0.8,1.0,0.888888888888889
35,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
35,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
35,3,0.9411764705882353,0.05882352941176472,0.8888888888888888,0.9411764705882353,0.9696969696969697,0.9411764705882353,2,1,0,0.6666666666666666,1.0,0.8,10,0,1,1.0,0.9090909090909091,0.9523809523809523,4,0,0,1.0,1.0,1.0
35,3,1.0,0.0,1.0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
35,3,1.0,0.0,1.0,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
35,3,0.9411764705882353,0.05882352941176472,0.9583333333333334,0.9411764705882353,0.9629629629629629,0.9411764705882353,1,0,0,1.0,1.0,1.0,8,0,1,1.0,0.8888888888888888,0.9411764705882353,7,1,0,0.875,1.0,0.9333333333333333
35,3,0.8823529411764706,0.11764705882352944,0.8968253968253969,0.8823529411764706,0.8888888888888888,0.8823529411764706,6,1,0,0.8571428571428571,1.0,0.923076923076923,4,0,2,1.0,0.6666666666666666,0.8,5,1,0,0.8333333333333334,1.0,0.9090909090909091
35,3,0.9411764705882353,0.05882352941176472,0.9583333333333334,0.9411764705882353,0.9523809523809524,0.9411764705882353,3,0,0,1.0,1.0,1.0,6,0,1,1.0,0.8571428571428571,0.923076923076923,7,1,0,0.875,1.0,0.9333333333333333
35,3,1.0,0.0,1.0,1.0,1.0,1.0,10,0,0,1.0,1.0,1.0,10,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
40,3,0.9411764705882353,0.05882352941176472,0.9629629629629629,0.9411764705882353,0.9523809523809524,0.9411764705882353,8,1,0,0.8888888888888888,1.0,0.9411764705882353,6,0,1,1.0,0.8571428571428571,0.923076923076923,2,0,0,1.0,1.0,1.0
40,3,1.0,0.0,1.0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0
40,3,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0
40,3,1.0,0.0,1.0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0
40,3,1.0,0.0,1.0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0
40,3,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0
40,3,0.9411764705882353,0.05882352941176472,0.9166666666666666,0.9411764705882353,0.9629629629629629,0.9411764705882353,5,0,0,1.0,1.0,1.0,8,0,1,1.0,0.8888888888888888,0.9411764705882353,3,1,0,0.75,1.0,0.8571428571428571
40,3,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0
40,3,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0,1,0,0,1.0,1.0,1.0
40,3,1.0,0.0,1.0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0
45,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0,2,0,0,1.0,1.0,1.0
45,3,1.0,0.0,1.0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
45,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0
45,3,1.0,0.0,1.0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0
45,3,0.9411764705882353,0.05882352941176472,0.9444444444444445,0.9411764705882353,0.9444444444444445,0.9411764705882353,5,1,0,0.8333333333333334,1.0,0.9090909090909091,5,0,1,1.0,0.8333333333333334,0.9090909090909091,6,0,0,1.0,1.0,1.0
45,3,0.9411764705882353,0.05882352941176472,0.9583333333333334,0.9411764705882353,0.9444444444444445,0.9411764705882353,4,0,0,1.0,1.0,1.0,5,0,1,1.0,0.8333333333333334,0.9090909090909091,7,1,0,0.875,1.0,0.9333333333333333
45,3,1.0,0.0,1.0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
45,3,1.0,0.0,1.0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,10,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
45,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0,1,0,0,1.0,1.0,1.0
45,3,0.96,0.040000000000000036,0.9666666666666667,0.96,0.9629629629629629,0.96,7,0,0,1.0,1.0,1.0,8,0,1,1.0,0.8888888888888888,0.9411764705882353,9,1,0,0.9,1.0,0.9473684210526316
50,3,1.0,0.0,1.0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
50,3,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
50,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0
50,3,0.9411764705882353,0.05882352941176472,0.9583333333333334,0.9411764705882353,0.9629629629629629,0.9411764705882353,1,0,0,1.0,1.0,1.0,8,0,1,1.0,0.8888888888888888,0.9411764705882353,7,1,0,0.875,1.0,0.9333333333333333
50,3,1.0,0.0,1.0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0
50,3,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,10,0,0,1.0,1.0,1.0,2,0,0,1.0,1.0,1.0
50,3,1.0,0.0,1.0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
50,3,1.0,0.0,1.0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0
50,3,1.0,0.0,1.0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0
50,3,0.88,0.12,0.9,0.88,0.8888888888888888,0.88,7,3,0,0.7,1.0,0.8235294117647058,6,0,3,1.0,0.6666666666666666,0.8,9,0,0,1.0,1.0,1.0
